Treat,DOY,Rep,Plant,Leaf,Leaf.unique,Tleaf,Vcmax,Jmax,Rday,Vcmax.25,Jmax.25,Rday.25,LMA,N.perc,C.perc,N.area,C.area,Vcmax.N,Jmax.N,R.N
w.c,264,6,2,1,121,31,122.9191593,171.990362,2.558644024,62.63426743,137.8963325,2.377499076,85.6,1.73,44.52,14.82725354,380.9745568,8.29008278,11.59961024,0.172563585
w.c,264,7,2,1,121,32.8,138.045025,186.712747,2.348123379,58.23954367,146.9041709,2.161888613,85.6,1.73,44.52,14.82725354,380.9745568,9.310222193,12.59253755,0.158365362
w.c,264,8,2,1,121,34.6,152.0975658,207.7357666,2.62657842,53.28455798,166.8603998,2.308112866,85.6,1.73,44.52,14.82725354,380.9745568,10.25797295,14.01040092,0.17714531
w.c,265,9,2,1,121,34.7,151.1037708,197.7584554,2.034845625,52.99151803,159.1968869,2.014303927,85.6,1.73,44.52,14.82725354,380.9745568,10.19094807,13.33749739,0.137236854
w.c,265,10,2,1,121,36,165.1854472,209.0039215,2.15116472,51.33037317,174.571267,2.188847123,85.6,1.73,44.52,14.82725354,380.9745568,11.14066383,14.09592956,0.145081806
w.c,265,11,2,1,121,37.4,187.5426331,218.1988074,2.075498356,50.14772936,193.9575161,2.174069453,85.6,1.73,44.52,14.82725354,380.9745568,12.64850787,14.71606369,0.139978611
w.c,268,12,2,1,121,36.7,188.5265737,236.7929004,1.550913964,53.37389555,203.8625947,1.49614012,85.6,1.73,44.52,14.82725354,380.9745568,12.71486814,15.97011205,0.10459887
w.c,268,13,2,1,121,37.6,196.025841,237.1452991,1.489090771,50.91464349,212.4371304,1.512945071,85.6,1.73,44.52,14.82725354,380.9745568,13.22064403,15.993879,0.100429305
w.c,268,14,2,1,121,38.7,213.3438306,255.5128471,2.418009788,49.27135725,251.2098558,2.337598953,85.6,1.73,44.52,14.82725354,380.9745568,14.38862767,17.23264841,0.163078737
w.c,268,15,2,1,121,40.1,219.9842757,258.458122,1.814591985,44.26966752,282.0187313,1.776748174,85.6,1.73,44.52,14.82725354,380.9745568,14.83648169,17.43128769,0.122382205
w.c,268,16,2,1,121,40.8,227.4082723,252.0341849,1.49313213,42.16963134,295.6196468,1.453830283,85.6,1.73,44.52,14.82725354,380.9745568,15.33718107,16.99803569,0.100701868
w.c,269,17,2,1,121,41.1,228.2683873,282.2518277,2.15630929,40.90238866,347.4533406,2.088511752,85.6,1.73,44.52,14.82725354,380.9745568,15.39519013,19.03601547,0.145428773
w.c,269,18,2,1,121,42.3,230.1921759,258.8622571,2.112392084,37.48986017,342.6019721,2.367134852,85.6,1.73,44.52,14.82725354,380.9745568,15.52493692,17.45854392,0.142466849
w.c,269,19,2,1,121,43.3,228.1687552,249.1562553,1.688788479,32.62835931,398.6255299,1.517903483,85.6,1.73,44.52,14.82725354,380.9745568,15.3884706,16.80393841,0.113897592
w.c,269,20,2,1,121,44,222.2147161,233.6080731,1.759492357,30.02025475,406.0209378,1.716639978,85.6,1.73,44.52,14.82725354,380.9745568,14.98691012,15.75531655,0.1186661
w.c,269,21,2,1,121,44.4,215.6492228,221.1818266,1.735419052,28.00441672,401.7374187,1.738869968,85.6,1.73,44.52,14.82725354,380.9745568,14.5441111,14.91724856,0.117042515
w.c,263,1,3,1,131,34.9,182.8801534,237.5085262,2.887488466,57.72953507,189.9253493,1.899456551,90.3,1.95,45.73,17.60834322,413.1243935,10.38599436,13.48840849,0.163984109
w.c,263,2,3,3,133,33,171.8241653,167.1966718,3.296615356,71.26672285,133.4882609,3.444492992,90.3,1.95,45.73,17.60834322,413.1243935,9.758110866,9.495309678,0.18721894
